user_id,signup_date,city,acquisition_channel,birth_year,email
U00483,2025-08-12,Munich,Meta Ads,1982,user483@example.com
U01303,2025-08-24,Berlin,Referral,1958,user1303@example.com
U00971,04.10.2025,Munich,Organic,1984,user971@example.com
U00089,2025-04-21,Berlin,Meta Ads,1981,user89@example.com
U00456,12.04.2025,Cologne,Meta Ads,1970,user456@example.com
U00555,2024-10-24,Munich,Referral,1991,user555@example.com
U00541,2024-12-17,Frankfurt,Referral,1972,user541@example.com
U00557,2024-08-21,Cologne,Meta Ads,1966,
U00101,2025-04-03,Munich,Referral,1963,user101@example.com
U00077,2024-12-09,Frankfurt,Meta Ads,1992,user77@example.com
U00436,2025-06-14,Berlin,Meta Ads,1970,user436@example.com
U00825,2025-09-26,Hamburg,Google Ads,1971,user825@example.com
U00393,2025-05-02,Hamburg,Google Ads,2004,user393@example.com
U01115,2025-10-25,Cologne,Google Ads,1967,user1115@example.com
U00885,2025-06-23,Berlin,TikTok Ads,2006,user885@example.com
U00626,2024-01-07,Berlin,Google Ads,1997,user626@example.com
U00929,2025-05-24,Frankfurt,Referral,1997,user929@example.com
U00611,2024-02-22,Frankfurt,TikTok Ads,1998,user611@example.com
U00548,2025-02-23,Munich,Google Ads,1987,user548@example.com
U00182,23.07.2025,Frankfurt,Referral,1993,user182@example.com
U00216,2025-11-17,Berlin,Organic,2005,user216@example.com
U01617,2025-04-22,Munich,Referral,1991,user1617@example.com
U00038,2025-07-09,Cologne,TikTok Ads,1978,user38@example.com
U01243,2025-07-21,Berlin,Google Ads,1970,user1243@example.com
U00439,2025-07-13,Berlin,Google Ads,2006,user439@example.com
U00357,2025-12-01,Berlin,Google Ads,1963,user357@example.com
U00966,2025-11-27,Frankfurt,TikTok Ads,1961,user966@example.com
U00480,03.07.2024,Hamburg,Google Ads,1996,user480@example.com
U00924,2024-02-07,Berlin,Meta Ads,1979,user924@example.com
U01077,2025-04-09,Frankfurt,Meta Ads,2006,user1077@example.com
U00970,2024-06-17,Munich,TikTok Ads,2002,user970@example.com
U00974,2025-05-12,Frankfurt,Referral,2002,user974@example.com
U01456,2025-04-01,Frankfurt,Google Ads,2004,user1456@example.com
U01894,2025-09-14,Munich,TikTok Ads,1982,user1894@example.com
U01784,2025-10-13,Munich,Referral,1972,
U00582,2025-08-09,Frankfurt,Google Ads,1989,user582@example.com
U01733,2024-04-08,Berlin,TikTok Ads,1990,
U00334,2025-07-23,Cologne,Referral,1980,user334@example.com
U00160,2025-11-22,Hamburg,TikTok Ads,1959,user160@example.com
U01534,2025-09-27,Berlin,Google Ads,1964,user1534@example.com
U00933,2024-05-16,Berlin,Organic,1998,user933@example.com
U00249,2025-11-18,Munich,Google Ads,1981,user249@example.com
U01615,14.07.2024,Berlin,Organic,1991,user1615@example.com
U00341,2024-08-04,Frankfurt,Meta Ads,2005,user341@example.com
U01559,2024-10-01,Cologne,Referral,1970,user1559@example.com
U00508,01.04.2025,Hamburg,TikTok Ads,1986,user508@example.com
U01999,2025-09-08,Berlin,Meta Ads,1999,user1999@example.com
U00804,2025-09-19,Berlin,Organic,1972,
U01484,2025-05-03,Berlin,Meta Ads,1968,user1484@example.com
U00959,2024-07-08,Berlin,Google Ads,1981,user959@example.com
U01513,28.07.2025,Frankfurt,Google Ads,1964,user1513@example.com
U00713,2025-10-08,Munich,Referral,1983,user713@example.com
U00673,2025-07-19,Frankfurt,Referral,1988,user673@example.com
U00005,2024-10-11,Berlin,Referral,2006,user5@example.com
U01314,2025-05-07,Frankfurt,Organic,1981,user1314@example.com
U00965,2024-08-02,Hamburg,TikTok Ads,2006,user965@example.com
U00861,2024-05-27,Munich,Referral,1997,user861@example.com
U00315,2024-06-05,Frankfurt,TikTok Ads,1996,user315@example.com
U01477,2025-07-05,Berlin,TikTok Ads,1992,user1477@example.com
U00551,2025-09-21,Frankfurt,Google Ads,1985,user551@example.com
U01047,2025-11-22,Hamburg,Meta Ads,1989,user1047@example.com
U01500,2025-08-24,Hamburg,Meta Ads,1988,user1500@example.com
U01482,17.08.2024,Munich,Organic,1966,user1482@example.com
